HR+D1039_1:101,
790.756,111.69
791.195,138.69
791.634,157.69
792.072,247.69
792.511,483.69
792.95,1662.69
793.388,2539.69
793.827,1517.69
794.265,644.69
794.704,269.69
795.142,166.69
795.581,122.69
796.019,128.69
796.458,132.69
796.896,140.69
797.334,138.69
797.773,182.69
798.211,320.69
798.649,967.69
799.087,2091.69
799.526,2273.69
799.964,2744.69
800.402,1687.69
800.84,739.69
801.278,326.69
801.716,193.69
802.154,156.69
802.592,135.69
803.03,144.69
803.468,133.69
803.906,140.69
804.344,143.69
804.782,153.69
805.22,145.69
805.658,165.69
806.096,161.69
806.533,164.69
806.971,171.69
807.409,210.69
807.847,330.69
808.284,912.69
808.722,2768.69
809.16,3069.69
809.597,4003.69
810.035,7159.69
810.472,4484.69
810.91,1880.69
811.347,687.69
811.785,326.69
812.222,176.69
812.66,183.69
813.097,173.69
813.535,135.69
813.972,124.69
814.409,121.69
814.846,124.69
815.284,129.69
815.721,120.69
816.158,129.69
816.595,106.69
817.032,103.69
817.47,120.69
817.907,128.69
818.344,114.69
818.781,101.69
819.218,111.69
819.655,124.69
820.092,107.69
820.529,114.69
820.966,106.69
821.403,125.69
821.839,112.69
822.276,109.69
822.713,137.69
823.15,147.69
823.587,173.69
824.023,285.69
824.46,1001.69
824.897,2874.69
825.333,2462.69
825.77,1081.69
826.206,441.69
826.643,251.69
827.08,133.69
827.516,120.69
827.953,111.69
828.389,125.69
828.825,115.69
829.262,103.69
829.698,107.69
830.135,104.69
830.571,97.69
831.007,123.69
831.443,107.69
831.88,113.69
832.316,108.69
832.752,120.69
833.188,112.69
833.624,108.69
834.06,117.69
834.497,121.69
834.933,102.69
835.369,110.69
835.805,113.69
836.241,111.69
836.677,124.69
837.112,115.69
837.548,145.69
837.984,171.69
838.42,234.69
838.856,714.69
839.292,1984.69
839.727,1756.69
840.163,1028.69
840.599,1441.69
841.034,2942.69
841.47,1977.69
841.906,901.69
842.341,417.69
842.777,219.69
843.212,145.69
843.648,119.69
844.083,112.69
844.519,117.69
844.954,99.69
845.39,91.69
845.825,111.69
846.261,112.69
846.696,112.69
847.131,105.69
847.566,91.69
848.002,108.69
848.437,89.69
848.872,104.69
849.307,118.69
849.742,137.69
850.177,322.69
850.613,845.69
851.048,806.69
851.483,431.69
851.918,229.69
852.353,127.69
852.788,117.69
853.223,103.69
853.657,104.69
854.092,98.69
854.527,74.69
854.962,91.69
855.397,111.69
855.832,93.69
856.266,87.69
856.701,98.69
857.136,94.69
857.57,83.69
858.005,99.69
858.44,79.69
858.874,86.69
859.309,91.69
859.743,91.69
860.178,88.69
860.612,90.69
861.047,91.69
861.481,97.69
861.915,103.69
862.35,89.69
862.784,86.69
863.218,73.69
863.653,87.69
864.087,100.69
864.521,100.69
864.955,143.69
865.39,225.69
865.824,187.69
866.258,122.69
866.692,91.69
867.126,90.69
867.56,81.69
867.994,86.69
868.428,94.69
868.862,94.69
869.296,83.69
869.73,87.69
870.164,80.69
870.598,81.69
871.031,86.69
871.465,85.69
871.899,78.69
872.333,81.69
872.766,68.69
873.2,92.69
873.634,79.69
874.067,82.69
874.501,78.69
874.935,90.69
875.368,85.69
875.802,72.69
876.235,82.69
876.669,72.69
877.102,77.69
877.535,79.69
877.969,74.69
878.402,81.69
878.836,78.69
879.269,97.69
879.702,82.69
880.135,87.69
880.569,91.69
881.002,94.69
881.435,71.69
881.868,76.69
882.301,74.69
882.734,91.69
883.167,87.69
883.601,72.69
884.034,72.69
884.467,88.69
884.899,78.69
885.332,89.69
885.765,90.69
886.198,103.69
886.631,82.69
887.064,94.69
887.497,83.69
887.929,82.69
888.362,81.69
888.795,71.69
889.228,80.69
889.66,71.69
890.093,75.69
890.526,63.69
890.958,103.69
891.391,88.69
891.823,88.69
892.256,86.69
892.688,67.69
893.121,76.69
893.553,96.69
893.985,77.69
894.418,79.69
894.85,82.69
895.282,100.69
895.715,86.69
896.147,87.69
896.579,87.69
897.011,85.69
897.444,106.69
897.876,84.69
898.308,77.69
898.74,71.69
899.172,92.69
899.604,95.69
900.036,102.69
900.468,97.69
900.9,101.69
901.332,82.69
901.764,95.69
902.196,101.69
902.628,99.69
903.06,82.69
903.491,87.69
903.923,97.69
904.355,89.69
904.787,91.69
905.218,82.69
905.65,93.69
906.082,95.69
906.513,95.69
906.945,93.69
907.376,101.69
907.808,95.69
908.239,116.69
908.671,109.69
909.102,116.69
909.534,130.69
909.965,237.69
910.397,525.69
910.828,1829.69
911.259,1805.69
911.691,1102.69
912.122,601.69
912.553,277.69
912.984,151.69
913.415,117.69
913.847,122.69
914.278,105.69
914.709,93.69
915.14,90.69
915.571,98.69
916.002,99.69
916.433,98.69
916.864,100.69
917.295,101.69
917.726,96.69
918.157,74.69
918.587,109.69
919.018,93.69
919.449,89.69
919.88,106.69
920.311,116.69
